0:0:0:0:0:0:0:1 - - [29/May/2018:14:32:43 +0900] "GET /stylepet/image/dog3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:14:32:43 +0900] "GET /stylepet/image/dog2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:14:33:48 +0900] "GET /stylepet/top2.jsp HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [29/May/2018:14:33:48 +0900] "GET /stylepet/style.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [29/May/2018:14:33:48 +0900] "GET /stylepet/image/home1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/May/2018:14:34:22 +0900] "GET /stylepet/GoHomeAction.action HTTP/1.1" 200 2139
0:0:0:0:0:0:0:1 - - [29/May/2018:14:34:25 +0900] "GET /stylepet/style.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [29/May/2018:14:34:26 +0900] "GET /stylepet/ProductAction.action HTTP/1.1" 200 7297
0:0:0:0:0:0:0:1 - - [29/May/2018:14:34:34 +0900] "GET /stylepet/style.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [29/May/2018:14:34:42 +0900] "GET /stylepet/style.css HTTP/1.1" 404 1055
